epoch,loss,val loss,accuracy,val_accuracy,precision,val_precision,recall,val_recall,f1,val_f1
172,0.000448,0.000605,0.879,0.80028,0.939272,0.85477,0.923093,0.856688,0.925972,0.845987
173,0.00042,0.000652,0.8925,0.766479,0.946383,0.871483,0.934962,0.79653,0.935057,0.819528
174,0.000422,0.000623,0.8875,0.786816,0.949974,0.885095,0.924105,0.813252,0.930502,0.835628
175,0.000362,0.000653,0.907,0.768442,0.936347,0.870346,0.926545,0.802387,0.926073,0.821613
176,0.000424,0.000621,0.882,0.804768,0.942831,0.844456,0.923145,0.874544,0.925024,0.849715
177,0.000416,0.000605,0.884,0.805609,0.930216,0.85781,0.928539,0.865684,0.922945,0.851231
178,0.000362,0.000593,0.9195,0.815988,0.954327,0.875454,0.941863,0.862995,0.943972,0.856627
179,0.000411,0.000626,0.893,0.797755,0.928907,0.866139,0.925411,0.846614,0.920679,0.845534
180,0.00038,0.000639,0.9005,0.774333,0.925146,0.882697,0.913333,0.801921,0.914047,0.825948
181,0.000438,0.000636,0.866,0.768443,0.915228,0.865943,0.898031,0.80919,0.898583,0.825083
182,0.000458,0.000615,0.8775,0.808695,0.938466,0.843536,0.924639,0.886984,0.925602,0.855163
183,0.000373,0.000628,0.895,0.773071,0.901835,0.883253,0.881397,0.802571,0.884657,0.826549
184,0.000393,0.000617,0.9095,0.774754,0.955125,0.869423,0.944694,0.816492,0.945581,0.830039
185,0.000394,0.000644,0.897,0.778681,0.947756,0.821624,0.927895,0.876198,0.932115,0.837116
186,0.000352,0.000603,0.9235,0.797895,0.969454,0.87012,0.948541,0.842615,0.95571,0.845503
187,0.000412,0.0006,0.8885,0.785133,0.944857,0.894083,0.92776,0.806798,0.92987,0.835637
188,0.000363,0.000597,0.912,0.817531,0.952367,0.859623,0.92294,0.880897,0.932427,0.860671
189,0.000383,0.00061,0.924,0.818933,0.970976,0.857431,0.948157,0.879565,0.955586,0.857594
190,0.000406,0.000593,0.9085,0.802804,0.96123,0.891806,0.938706,0.826804,0.944977,0.84568
191,0.00041,0.000603,0.8985,0.793547,0.951282,0.880428,0.938246,0.826508,0.940927,0.840361
192,0.000395,0.000599,0.895,0.815427,0.948724,0.864897,0.934502,0.869383,0.934247,0.857812
193,0.000355,0.000588,0.931,0.812763,0.970629,0.882697,0.956682,0.847097,0.960843,0.853906
194,0.000374,0.000616,0.902,0.788779,0.942496,0.879199,0.938906,0.821478,0.935813,0.837461
195,0.000371,0.000644,0.9175,0.782327,0.964252,0.883619,0.945407,0.809315,0.950038,0.831603
196,0.000359,0.000604,0.924,0.793267,0.964127,0.88731,0.946793,0.822408,0.95092,0.840174
197,0.000345,0.00062,0.913,0.793267,0.952625,0.888595,0.949643,0.818228,0.945735,0.839901
198,0.000367,0.00068,0.9,0.747405,0.936222,0.879153,0.926543,0.771038,0.925989,0.807485
199,0.000442,0.000663,0.88,0.749228,0.937609,0.87988,0.923272,0.774962,0.924545,0.809411
